date,open,high,low,close,volume,diff,ration,real
2017/5/31,72.8,74.5,72.7,72.7,21290,-0.7,-0.009628611,1
2017/6/1,72.8,72.9,71.5,71.6,5714,1.2,0.016759777,1
2017/6/2,72,72.5,71.1,71.5,4609,0.2,0.002797203,1
2017/6/3,72.3,72.3,71.7,72,1964,-1.2,-0.016666667,1
2017/6/5,72.3,72.6,71.3,72,3927,-1.3,-0.018055556,1
2017/6/6,72.7,73.5,72.4,72.8,6941,-2.6,-0.035714286,0
2017/6/7,73,73.3,71.7,71.7,8750,-1.7,-0.023709902,1
2017/6/8,72,72.3,70.4,70.8,5010,-2.6,-0.036723164,0
2017/6/9,71,71.8,70.6,70.7,4640,-2.1,-0.02970297,1
2017/6/12,70.2,70.7,69.9,70.2,3623,-0.4,-0.005698006,1
2017/6/13,70.7,70.9,70,70,2998,-0.6,-0.008571429,1
2017/6/14,70.4,70.6,67.6,68.2,6888,1.6,0.023460411,1
2017/6/15,68.3,69.4,68.1,68.6,5448,1.2,0.017492711,1
2017/6/16,69.4,69.8,68.8,69.8,6674,-0.1,-0.001432665,1
2017/6/19,70.2,70.4,69.4,69.4,3800,-0.4,-0.005763689,1
2017/6/20,70,70.5,69.6,69.8,4280,-0.2,-0.00286533,1
2017/6/21,70.2,70.3,69.3,69.8,3821,3,0.042979943,2
2017/6/22,70,70.2,69.4,69.7,2786,4.2,0.06025825,2
2017/6/23,69.7,70.1,69,69,2665,3.8,0.055072464,2
2017/6/26,69,69.9,68.8,69.6,3274,3,0.043103448,2
2017/6/27,70.3,75.5,70.3,72.8,30127,-1.1,-0.01510989,1
2017/6/28,73.2,74.5,72.8,73.9,15201,-2,-0.027063599,1
2017/6/29,74.9,75,72.8,72.8,11168,-1.2,-0.016483516,1
2017/6/30,72.9,73.5,72.3,72.6,5009,-0.6,-0.008264463,1
2017/7/3,73.2,73.3,71.7,71.7,3941,1.4,0.019525802,1
2017/7/4,72.7,73.4,71.9,71.9,6505,-0.7,-0.009735744,1
2017/7/5,72.1,72.2,71,71.6,3732,0.8,0.011173184,1
2017/7/6,71.6,72.6,71.1,72,4291,0.1,0.001388889,1
2017/7/7,75.5,76.2,73,73.1,24751,-1,-0.013679891,1
2017/7/10,73.5,73.6,70.7,71.2,8952,0.5,0.007022472,1
2017/7/11,71.8,72.4,71.5,72.4,5137,0.6,0.008287293,1
2017/7/12,73,73.3,72.1,72.1,5420,0,0,1
2017/7/13,72.3,72.4,71.4,72.1,3819,0.2,0.002773925,1
2017/7/14,72.8,73,71.7,71.7,4771,1.7,0.023709902,1
2017/7/17,72.3,73,71.6,73,5936,0.2,0.002739726,1
2017/7/18,73.3,73.5,72.1,72.1,5927,0.6,0.008321775,1
2017/7/19,72.5,72.9,72.1,72.3,5293,-0.1,-0.001383126,1
2017/7/20,72.8,73.8,72.3,73.4,8639,-1.9,-0.025885559,1
2017/7/21,73.8,74.4,73.1,73.2,8213,-1.4,-0.019125683,1
2017/7/24,73,73.2,72.6,72.7,3124,-1.5,-0.020632737,1
2017/7/25,72.7,73.8,72.2,72.2,4781,-0.5,-0.006925208,1
2017/7/26,72.8,72.8,71.5,71.5,5321,0.1,0.001398601,1
2017/7/27,71.9,72.2,71.5,71.8,3434,0.8,0.011142061,1
2017/7/28,72,72.3,71.2,71.2,3627,-0.3,-0.004213483,1
2017/7/31,71.3,72.3,71.1,71.7,4515,-0.4,-0.005578801,1
2017/8/1,71.7,72.6,71.6,71.6,5122,-0.9,-0.012569832,1
2017/8/2,72,73,71.3,72.6,6823,-1.9,-0.026170799,1
2017/8/3,72.6,72.6,70.2,70.9,8280,-1.7,-0.023977433,1
2017/8/4,71.3,71.8,71,71.3,3437,-2.7,-0.037868163,0
